10000 17600
1936 2193 11
1937 2313 20
1938 2522 21
1939 2305 5
1940 3824 11
1940 2453 6
1941 7615 12
1941 2350 6
1942 2309 19
1943 2322 18
1944 2201 18
1945 2358 16
1946 2534 18
1947 3730 20
1947 2522 18
1948 2461 10
1949 2256 10
1950 2345 5
1951 2250 19
1952 2212 6
1953 2300 20
1954 2256 12
1955 2297 11
1956 2321 6
1957 2381 14
1958 2482 16
1959 2404 8
1960 2414 9
1961 2238 15
1962 2313 17
1963 2406 12
1964 5527 6
1964 2323 16
1965 2373 15
1966 2308 10
1967 2377 15
1968 2451 11
1969 2393 10
1970 2393 11
1971 2342 19
1972 2239 19
1973 2483 10
1974 2535 18
1975 2382 16
1976 2338 16
1977 5273 9
1977 2502 6
1978 2262 6
1979 2241 8
1980 2894 11
1980 2536 10
1980 2496 13
1981 4009 13
1981 2296 21
1982 7414 5
1982 2349 19
1983 2338 19
1983 2454 13
1984 2507 14
1985 2520 5
1986 2415 18
1987 2419 17
1988 4863 9
1988 2308 10
1989 9227 8
1989 2256 20
1990 2357 14
1991 2366 12
1992 2335 12
1993 3119 9
1993 2322 15
1994 2522 17
1995 2469 11
1996 2300 18
1997 6311 11
1997 2342 9
1998 9070 21
1998 2257 17
1999 2299 13
2000 4990 20
2000 2233 13
2001 2313 8
2002 9228 12
2002 2219 9
2003 3921 5
2003 2416 13
2004 9668 21
2004 2439 18
2005 2223 5
2006 7883 8
2006 2205 7
2007 2376 18
2008 3680 9
2008 2469 14
2009 2252 11
2010 2240 14
2011 2274 5
2012 2388 21
2013 2529 21
2014 2298 5
2015 2488 5
2016 2212 5
2017 2432 14
2018 2274 13
2019 2834 6
2019 2337 12
2020 2304 16
2021 2365 6
2022 3096 20
2022 2292 16
2023 2188 17
2024 2214 12
2025 9948 19
2025 2351 8
2026 2344 11
2027 2929 21
2027 2276 8
2028 2433 14
2029 2291 11
2030 6403 9
2030 2491 18
2031 2187 8
2032 2529 6
2033 5380 9
2033 2334 21
2034 2247 16
2035 2249 20
2036 2398 10
2037 2519 14
2038 2246 17
2039 2201 20
2040 5320 12
2040 2417 18
2041 3878 21
2041 2533 6
2042 2410 9
2042 2368 18
2043 2191 20
2044 2424 12
2045 2487 18
2046 2976 14
2046 2365 9
2047 2403 20
2048 2522 8
2049 2301 16
2050 8989 8
2050 2530 13
2051 2377 12
2052 2517 11
2053 7702 21
2053 2488 16
2054 2202 21
2055 2217 8
2056 2431 16
2057 2481 9
2058 7424 12
2058 2277 18
2059 2355 5
2059 2498 6
2060 2272 13
2061 2464 9
2062 2218 7
2063 2439 16
2064 2506 9
2065 2369 19
2066 7679 17
2066 2363 18
2067 6805 21
2067 2261 10
2068 2375 8
2069 4655 13
2069 2444 10
2070 2421 16
2071 2458 7
2072 2519 18
2073 2290 6
2074 9189 17
2074 2307 20
2075 2417 9
2076 2245 7
2077 7146 9
2077 2200 5
2078 2363 8
2079 2375 8
2080 2251 13
2081 9493 21
2081 2490 5
2082 2214 20
2083 2258 19
2084 2397 21
2085 4617 10
2085 2260 15
2086 2408 16
2087 2351 12
2087 2508 9
2088 2512 17
2089 2527 7
2090 2415 17
2091 2227 5
2092 7574 21
2092 2529 10
2093 4322 15
2093 2236 5
2094 2314 17
2095 2843 13
2095 2246 5
2096 2398 19
2097 2478 17
2098 2307 7
2099 2484 17
2100 2222 8
2101 2438 17
2102 5099 19
2102 2394 8
2103 2340 20
2104 8408 13
2104 2244 21
2105 2447 14
2106 2225 12
2106 2283 10
2107 2366 10
2108 2257 15
2109 2264 18
2110 2672 11
2110 2356 14
2111 2308 21
2112 8667 7
2112 2441 15
2113 5788 15
2113 2202 11
2114 2329 13
2115 2459 5
2116 2200 17
2117 9604 14
2117 2322 15
2118 2316 8
2119 2385 6
2120 2483 15
2121 2290 18
2122 8917 17
2122 2241 9
2123 4407 6
2123 2465 10
2124 7585 18
2124 2247 6
2125 2450 6
2126 2551 19
2126 2389 7
2127 2467 6
2128 2235 20
2129 2313 19
2130 7470 7
2130 2274 21
2131 2936 5
2131 2277 18
2132 2445 15
2133 6350 16
2133 2284 10
2134 2483 15
2135 2400 15
2136 2282 15
2137 2505 19
2138 2363 20
2139 2219 20
2140 2416 10
2141 2310 17
2142 8215 16
2142 2466 10
2143 3094 21
2143 2295 5
2144 2261 13
2145 2507 19
2146 2259 5
2147 2344 15
2148 2280 18
2149 4591 6
2149 2354 5
2150 2403 19
2151 2215 14
2152 2379 18
2153 2491 13
2154 2355 16
2155 2389 16
2156 2445 12
2157 2234 20
2158 2258 17
2159 2184 6
2160 4859 9
2160 2299 17
2161 3794 17
2161 2243 7
2162 6390 5
2162 2356 10
2163 8499 10
2163 2424 8
2164 2297 11
2165 2220 17
2166 4100 15
2166 2353 21
2167 2231 9
2168 2457 9
2169 2324 7
2170 2198 20
2171 2497 10
2172 2221 17
2173 2424 19
2174 2404 20
2175 6725 6
2175 2439 19
2176 2398 20
2177 2255 9
2178 2998 15
2178 2501 11
2179 2240 19
2180 5048 12
2180 2341 19
2181 2444 5
2182 2428 14
2183 2499 16
2184 2547 10
2185 2609 10
2186 5790 14
2186 2618 6
2187 2562 17
2188 2559 11
2189 2558 21
2190 2655 19
2191 5186 12
2191 2664 19
2192 2608 20
2193 2553 18
2194 2653 11
2195 2610 21
2196 2650 5
2197 2578 16
2198 2675 16
2199 2631 20
2200 2682 8
2201 2620 17
2202 9882 21
2202 2642 6
2203 2559 21
2204 2617 18
2205 3023 20
2205 2593 11
2205 2552 20
2206 2609 17
2207 2638 8
2208 2678 9
2209 2549 16
2210 2543 14
2211 2567 5
2212 2596 13
2213 2635 5
2214 2642 13
2215 2658 18
2216 2673 18
2217 4836 20
2217 2639 19
2218 2578 18
2219 5452 14
2219 2578 16
2220 2644 17
2221 2593 18
2222 3658 11
2222 2549 8
2223 2592 7
2224 2648 19
2225 2661 18
2226 2601 16
2227 2558 17
2228 8695 16
2228 2642 15
2229 2617 19
2229 2591 13
2230 2669 17
2231 2540 10
2232 6469 8
2232 2540 20
2233 2643 18
2234 2539 11
2235 2634 12
2235 2585 6
2236 2620 6
2237 2643 18
2237 2645 8
2238 2539 6
2239 2676 6
2240 2653 17
2241 2633 11
2242 5499 6
2242 2659 5
2243 2653 21
2244 2571 5
2245 2569 9
2246 2642 16
2247 8805 12
2247 2649 7
2248 2678 5
2249 5427 6
2249 2554 18
2250 2581 19
2251 2559 7
2252 2659 10
2253 3370 21
2253 2632 10
2254 2589 6
2255 3452 11
2255 2652 18
2256 2578 13
2257 7065 20
2257 2573 18
2258 3177 9
2258 2582 12
2259 7921 9
2259 2538 7
2260 2681 9
2261 2548 9
2262 2541 6
2263 8139 8
2263 2641 15
2264 2611 15
2265 2665 9
2266 2644 11
2267 2657 9
2268 2654 5
2269 2574 9
2270 2588 5
2271 3497 16
2271 2662 11
2272 2562 11
2273 2570 21
2274 2682 19
2275 2659 8
2276 2668 5
2277 4335 6
2277 2648 5
2278 2647 19
2279 3344 11
2279 2640 8
2280 5269 20
2280 2680 9
2281 2684 10
2282 2639 14
2283 4923 7
2283 2545 21
2284 2951 13
2284 2580 13
2285 5755 12
2285 2675 5
2286 2583 10
2287 2668 20
2288 2586 19
2289 8956 11
2289 2574 8
2290 4399 16
2290 2650 8
2291 5022 13
2291 2602 10
2292 2633 19
2293 2619 9
2294 2588 10
2295 2590 7
2296 2653 20
2297 2723 8
2297 2540 8
2298 8951 14
2298 2542 16
2299 2633 5
2300 2631 6
2301 2674 10
2302 2587 19
2303 2593 13
2304 2558 18
2305 2606 18
2306 2655 12
2307 2658 16
2308 2692 9
2308 2544 8
2309 2548 14
2310 2619 12
2311 2636 8
2312 2549 10
2313 2611 11
2314 2598 5
2315 7442 9
2315 2678 14
2316 3946 8
2316 2607 8
2317 2646 19
2318 9124 11
2318 2563 14
2319 2596 21
2320 2641 10
2321 2639 9
2322 2544 7
2323 2551 11
2324 2564 7
2325 2558 20
2326 3325 17
2326 2613 16
2327 2592 21
2328 2673 5
2329 5386 11
2329 2579 13
2330 2639 19
2331 2608 17
2332 2621 9
2333 2561 7
2334 4950 7
2334 2561 13
2334 2575 16
2334 2626 17
2335 2623 17
2336 2572 12
2337 2651 11
2338 2550 20
2339 2560 21
2340 2578 16
2341 2551 17
2342 2593 7
2343 2655 6
2344 5080 20
2344 2669 19
2345 2666 10
2346 2648 13
2347 2644 11
2348 2656 17
2349 2574 11
2350 2605 17
2351 6272 11
2351 2557 5
2352 2666 19
2353 6329 13
2353 2608 21
2353 2565 18
2354 2613 20
2355 6156 17
2355 2551 11
2356 6085 11
2356 2577 5
2357 5737 18
2357 2642 21
2358 3697 16
2358 2556 19
2359 4162 14
2359 2542 21
2360 2791 11
2360 2608 13
2361 2634 18
2362 2641 20
2363 2556 13
2363 2599 17
2364 7124 10
2364 2566 6
2365 2673 10
2366 2577 19
2367 4535 15
2367 2570 15
2368 2547 5
2369 2569 5
2370 2913 12
2370 2588 16
2371 5226 17
2371 2647 12
2372 2602 16
2373 2543 9
2374 4465 9
2374 2589 12
2374 2594 20
2375 2615 14
2376 8438 12
2376 2670 18
2377 5853 16
2377 2578 15
2378 2608 14
2379 2646 20
2380 2632 13
2381 8513 21
2381 2590 21
2382 5057 17
2382 2682 14
2383 2566 14
2384 2569 11
2385 2545 20
2386 2567 14
2387 2672 5
2388 2589 15
2389 2658 20
2390 7952 12
2390 2577 7
2391 3631 10
2391 2584 8
2392 2640 5
2393 5562 12
2393 2661 13
2394 2539 20
2395 2584 19
2396 2596 20
2397 2541 12
2398 2570 21
2399 2561 21
2400 2566 5
2401 2590 11
2402 2679 18
2403 9477 15
2403 2622 9
2404 2553 10
2405 2659 5
2406 2584 15
2407 2683 14
2408 2614 17
2409 2677 13
2410 2606 5
2411 2664 13
2411 2616 6
2412 8683 16
2412 2570 9
2413 2574 7
2414 2661 19
2415 8785 19
2415 2655 17
2416 2658 20
2417 2647 6
2418 2608 8
2419 8002 10
2419 2638 10
2420 2674 19
2421 2674 7
2422 2557 15
2423 2554 21
2424 7513 16
2424 2587 17
2425 2573 17
2426 6635 10
2426 2630 12
2427 2637 11
2428 5198 11
2428 2654 12
2429 2541 14
2430 6718 19
2430 2551 21
2431 2649 9
2432 2570 16
2433 2640 16
2434 5436 6
2434 2573 16
2435 2618 16
2436 2677 19
2437 2663 16
2438 2596 14
2439 2540 19
2440 2604 6
2441 2545 5
2442 2610 20
2443 5802 9
2443 2606 6
2444 2550 12
2445 2658 11
2446 2635 9
2447 2633 10
2448 2546 11
2449 2621 7
2450 2563 6
2451 2603 21
2452 2570 20
2453 2627 6
2454 2566 7
2455 2657 19
2456 2576 17
2457 2979 10
2457 2561 19
2458 2580 15
2459 2553 5
2460 2573 12
2461 2650 20
2462 2661 14
2463 3969 11
2463 2664 9
2463 2568 11
2464 2669 19
2465 2566 5
2466 8064 13
2466 2625 21
2467 2574 5
2468 2556 19
2469 2544 7
2470 4418 6
2470 2603 13
2471 2589 11
2472 5615 14
2472 2612 12
2473 9906 19
2473 2661 11
2473 2628 16
2474 3736 19
2474 2661 7
2475 4969 16
2475 2601 6
2476 5693 21
2476 2609 19
2477 2663 17
2478 8435 9
2478 2558 9
2479 6225 21
2479 2619 15
2480 2627 17
2481 2635 6
2482 2604 8
2483 2561 14
2484 2560 9
2485 2555 6
2486 2635 11
2487 2608 9
2488 2600 16
2489 2597 5
2490 9421 5
2490 2567 20
2491 2574 5
2492 2651 5
2493 2650 12
2494 2614 20
2495 2572 13
2496 2542 18
2497 2676 9
2498 5922 17
2498 2584 12
2499 2653 12
2500 2613 15
2501 2541 15
2502 2624 20
2503 2598 18
2504 2595 9
2505 2605 15
2506 2546 8
2507 2556 13
2508 2590 21
2509 2544 21
2509 2660 19
2510 2672 13
2511 2629 20
2512 2547 11
2513 3633 21
2513 2634 15
2513 2667 9
2514 8258 18
2514 2620 10
2515 2607 9
2516 2588 5
2517 2572 17
2518 2685 6
2519 2643 8
2520 2637 17
2521 2666 14
2522 2554 12
2523 5793 5
2523 2539 8
2524 2662 14
2525 2639 19
2526 2581 14
2527 9471 11
2527 2588 18
2528 3784 11
2528 2593 13
2529 2671 21
2530 2684 19
2531 2678 15
2532 5329 12
2532 2609 15
2533 2670 11
2534 8857 13
2534 2548 14
2535 3252 9
2535 2647 7
2536 2845 21
2536 2611 16
2537 2562 14
2538 2898 20
2538 2821 10
2539 2875 7
2539 2860 5
2540 2838 13
2540 2901 16
2541 2790 18
2542 2688 10
2543 5608 5
2543 2858 11
2544 2890 19
2544 2700 21
2544 2739 8
2545 5627 10
2545 2717 7
2545 2697 5
2546 2701 10
2546 2863 5
2546 2874 5
2547 3321 16
2547 2718 14
2548 2744 7
2549 2835 8
2549 2719 14
2550 2884 11
2551 2695 14
2551 2729 10
2551 2817 13
2552 2766 14
2552 2746 7
2553 6995 20
2553 2791 7
2553 2829 20
2554 2761 9
2554 2745 7
2554 2833 11
2555 2805 10
2555 2893 21
2556 2808 8
2557 7293 13
2557 2856 15
2557 2767 12
2558 7074 19
2558 2776 11
2559 2838 14
2560 2740 6
2560 2778 7
2561 2797 20
2562 2727 21
2563 2687 21
2564 2689 9
2565 2824 19
2565 2793 7
2566 6046 7
2566 2842 10
2567 2782 14
2567 2747 20
2568 2735 13
2569 2801 6
2570 2906 19
2571 2895 15
2572 2815 12
2572 2803 11
2572 2883 20
2573 2848 12
2573 2807 10
2573 2880 20
2574 3072 6
2574 2740 20
2574 2818 17
2574 2868 19
2575 2808 13
2575 2753 6
2575 2781 6
2575 2811 13
2576 2738 14
2577 2691 20
2577 2796 17
2578 2794 15
2579 2852 8
2580 2832 10
2580 2869 16
2581 9713 13
2581 2908 15
2581 2859 12
2582 2826 15
2583 2882 12
2584 8890 15
2584 2826 9
2585 3012 15
2585 2710 16
2586 2741 19
2587 2825 19
2587 2731 17
2588 2773 18
2589 2861 14
2590 2725 18
2591 2738 8
2591 2709 5
2592 6152 15
2592 2843 14
2593 2727 16
2594 2748 5
2594 2866 7
2594 2892 8
2595 2826 6
2595 2902 19
2595 2909 5
2596 6112 13
2596 2760 13
2597 2838 16
2598 7530 17
2598 2851 5
2598 2699 14
2598 2707 15
2598 2870 10
2599 5876 8
2599 2711 5
2600 5437 8
2600 2733 12
2600 2904 13
2601 2770 5
2602 2840 10
2602 2877 15
2603 7309 20
2603 2900 16
2603 2891 15
2604 4285 8
2604 2780 14
2605 2856 8
2605 2714 15
2605 2783 5
2605 2812 21
2605 2841 21
2606 2897 17
2606 2758 16
2607 2852 9
2608 2687 12
2608 2771 12
2609 2873 17
2610 8061 18
2610 2888 15
2611 2704 9
2612 6998 16
2612 2857 20
2613 6431 5
2613 2827 17
2613 2721 7
2613 2837 5
2614 2702 11
2615 2777 6
2615 2798 10
2616 3755 19
2616 2784 12
2616 2867 12
2617 2792 10
2617 2850 12
2618 2879 11
2619 2779 10
2620 4298 17
2620 2750 11
2620 2756 20
2621 2908 21
2622 2686 15
2622 2885 8
2623 2896 7
2623 2813 11
2624 2846 14
2625 7304 9
2625 2846 14
2626 4780 21
2626 2718 10
2626 2828 6
2627 3073 21
2627 2695 18
2627 2694 7
2627 2703 14
2628 2876 17
2628 2716 6
2629 5783 18
2629 2853 8
2629 2712 20
2629 2795 13
2630 2724 14
2631 2802 18
2632 4955 20
2632 2757 10
2632 2752 13
2633 2782 11
2634 6272 17
2634 2762 19
2635 2689 11
2635 2737 14
2636 2886 8
2637 2736 17
2638 3669 19
2638 2792 10
2638 2743 11
2638 2899 13
2639 2770 16
2639 2742 11
2639 2765 11
2640 2832 21
2640 2878 21
2641 2801 21
2642 2785 14
2642 2754 16
2642 2764 11
2642 2830 6
2643 2876 19
2643 2855 15
2644 2713 6
2645 7234 8
2645 2724 14
2646 2726 13
2647 2823 16
2647 2693 7
2648 4439 13
2648 2862 18
2648 2809 15
2648 2847 21
2649 2843 10
2649 2787 9
2649 2804 5
2650 2800 11
2650 2905 19
2651 2864 18
2651 2706 16
2651 2722 6
2651 2849 19
2652 7132 20
2652 2903 19
2652 2814 16
2653 2786 9
2653 2872 7
2654 2896 19
2654 2871 8
2655 4363 19
2655 2816 17
2655 2810 18
2656 2876 6
2657 3594 19
2657 2844 7
2657 2854 21
2658 2839 13
2659 5444 17
2659 2906 18
2660 2819 11
2660 2907 21
2661 5946 12
2661 2708 16
2661 2751 12
2662 2827 15
2662 2789 15
2663 2688 18
2664 2757 20
2664 2715 21
2665 2820 19
2666 5011 21
2666 2836 9
2666 2769 13
2667 4482 15
2667 2695 13
2667 2730 19
2668 2881 9
2668 2749 13
2669 3211 7
2669 2759 9
2669 2696 9
2669 2698 17
2670 2757 16
2670 2755 14
2671 2691 12
2672 7049 18
2672 2799 15
2673 2808 12
2673 2732 10
2674 2775 5
2675 6416 6
2675 2865 5
2675 2728 20
2676 7976 13
2676 2725 18
2677 3429 19
2677 2898 21
2677 2822 12
2678 2740 14
2678 2887 20
2679 2806 13
2680 2734 19
2680 2774 20
2681 2857 12
2682 5814 12
2682 2757 20
2682 2831 14
2683 2705 11
2683 2690 16
2683 2768 16
2684 2784 19
2685 2858 11
2685 2910 15
2686 3528 11
2686 3011 21
2686 3048 18
2686 3085 7
2687 3611 11
2687 3417 7
2687 3448 12
2688 6764 9
2688 3243 11
2688 3123 8
2688 3691 16
2689 3463 10
2689 3016 19
2689 3139 10
2689 3189 12
2690 3214 11
2690 3208 13
2690 3698 21
2691 9520 11
2691 3340 11
2691 2928 15
2691 3052 12
2691 3642 7
2692 6915 11
2692 3229 10
2692 3285 20
2693 2934 20
2693 3185 21
2693 3276 16
2693 3513 11
2693 3546 12
2693 3596 9
2694 3182 17
2694 3278 8
2694 3306 20
2694 3320 6
2694 3564 12
2694 3745 8
2695 3274 8
2695 2989 17
2695 3538 20
2696 3205 21
2696 3135 7
2696 3187 5
2696 3342 19
2697 3677 14
2697 3017 8
2697 3137 9
2697 3367 17
2697 3670 14
2698 3348 15
2698 3067 12
2698 3377 16
2699 3654 7
2699 3099 7
2699 3542 11
2700 3227 7
2700 2966 12
2700 3098 8
2701 4455 12
2701 3225 6
2701 3336 12
2701 3724 15
2702 3533 20
2702 3042 10
2702 3323 21
2703 3379 18
2703 2912 15
2703 3105 7
2703 3439 8
2704 3370 18
2705 3474 11
2705 3147 18
2705 3636 10
2705 3722 16
2706 3074 16
2706 3280 16
2706 3577 17
2706 3623 5
2707 3247 5
2707 2982 8
2707 3080 14
2707 3313 12
2707 3576 5
2708 3346 9
2708 2955 12
2708 3687 11
2709 6410 6
2709 3056 11
2709 3145 7
2709 3349 5
2710 3246 20
2710 3234 17
2711 3461 7
2711 2950 18
2712 3487 21
2712 3215 21
2713 3272 21
2713 3155 15
2713 3238 8
2713 3626 19
2714 2969 21
2715 3627 5
2715 2939 6
2716 3601 17
2717 3723 20
2717 3407 18
2717 3700 11
2718 8224 18
2718 3056 6
2718 3628 20
2719 2930 5
2719 3295 7
2719 3373 8
2719 3696 12
2720 3527 19
2720 3307 18
2721 3171 6
2721 3043 19
2721 3051 15
2721 3491 14
2721 3523 11
2721 3605 7
2722 3467 15
2722 3574 10
2723 3645 8
2723 3173 13
2723 3366 12
2724 3734 6
2725 3270 18
2725 3066 13
2725 3302 6
2725 3525 19
2725 3679 14
2726 3396 15
2726 3232 7
2726 3540 11
2727 3383 5
2727 3082 15
2728 3402 9
2728 2923 12
2728 3127 10
2728 3600 17
2729 3103 15
2730 2995 18
2730 3231 16
2730 3300 13
2731 7195 16
2731 3075 15
2731 3391 13
2731 3399 15
2731 3610 19
2732 9991 13
2732 3478 7
2732 3678 19
2733 3362 18
2733 2933 15
2733 3180 8
2733 3420 8
2734 3452 13
2734 3536 13
2735 3475 13
2735 2978 16
2735 2985 5
2735 3156 16
2735 3415 5
2736 9796 16
2736 3656 21
2737 3216 18
2737 3310 10
2738 3721 5
2738 3228 19
2739 3630 11
2739 3635 16
2740 8145 20
2740 3665 9
2740 3089 19
2740 3217 7
2741 3568 8
2741 2975 11
2741 3341 19
2741 3539 20
2742 3270 16
2742 3199 9
2742 3719 19
2742 3739 13
2743 8319 17
2743 3408 21
2743 3136 5
2744 2921 6
2744 3120 8
2744 3421 20
2744 3597 21
2745 2937 16
2745 3235 5
2745 3359 8
2745 3560 17
2746 3573 17
2746 3010 14
2746 3360 15
2746 3427 21
2747 4141 21
2747 3246 20
2747 3224 18
2747 3701 13
2748 3603 14
2748 3044 15
2748 3581 14
2749 2929 13
2749 2942 15
2749 3290 5
2749 3620 19
2750 3020 19
2750 3151 18
2750 3191 20
2750 3277 5
2751 3489 5
2751 2984 21
2751 3134 11
2751 3148 5
2751 3483 11
2752 3047 16
2752 3317 6
2752 3343 10
2752 3355 7
2752 3526 11
2752 3715 18
2752 3729 14
2753 4265 16
2753 3068 9
2753 3033 17
2753 3484 6
2753 3510 9
2754 3584 16
2754 3164 11
2754 3299 19
2755 3504 6
2755 3157 13
2755 3250 15
2755 3444 7
2755 3624 17
2756 3183 13
2756 3197 17
2756 3387 15
2756 3393 12
2756 3496 13
2756 3505 15
2756 3692 13
2757 3361 20
2758 3301 9
2758 3245 6
2759 6562 21
2759 3345 21
2759 3469 18
2760 6702 16
2760 3166 5
2760 3065 16
2760 3140 9
2760 3418 17
2761 3262 16
2761 3437 21
2761 3570 13
2762 3592 18
2762 2953 13
2762 3041 18
2762 3233 14
2762 3532 15
2763 3242 12
2763 2944 15
2763 3304 7
2764 7696 8
2764 3108 8
2764 3009 19
2764 3095 12
2764 3251 12
2765 4199 19
2765 3686 17
2765 3001 21
2765 3149 19
2765 3311 20
2765 3499 11
2765 3604 10
2766 3237 21
2766 3263 21
2766 3531 10
2767 3490 20
2767 3254 16
2767 3297 19
2767 3481 6
2768 3565 14
2768 2981 17
2768 3083 15
2768 3193 6
2768 3334 9
2768 3411 15
2768 3548 8
2768 3571 16
2768 3666 13
2769 3283 10
2769 3543 14
2770 3598 19
2770 2925 15
2771 3093 9
2771 3057 16
2771 3058 10
2771 3356 9
2772 3021 15
2772 3061 9
2772 3090 10
2772 3236 19
2772 3264 5
2772 3416 20
2772 3561 18
2773 3622 11
2773 3190 11
2773 3194 5
2773 3557 14
2774 3502 16
2774 3167 21
2774 3376 5
2775 7712 13
2775 3580 14
2775 3054 9
2775 3460 19
2775 3744 18
2776 3646 21
2776 3116 9
2776 3380 17
2776 3476 17
2776 3634 14
2777 3738 17
2777 2988 11
2777 3142 17
2777 3210 18
2777 3382 8
2778 9396 19
2778 3321 16
2779 3742 21
2779 3162 10
2779 3308 11
2779 3638 18
2780 5734 15
2780 3575 8
2780 3055 19
2780 3106 7
2780 3109 6
2780 3201 17
2780 3335 18
2780 3369 10
2780 3372 19
2780 3507 20
2781 4029 8
2781 2965 9
2781 3032 14
2781 3424 8
2781 3455 18
2781 3500 14
2781 3558 12
2781 3612 17
2781 3618 20
2782 3614 17
2782 2991 13
2782 3132 18
2782 3498 17
2783 3270 17
2783 3087 10
2784 4818 17
2784 3200 11
2784 3563 10
2784 3591 12
2784 3705 12
2785 3586 20
2786 3298 14
2786 3381 21
2786 3468 7
2786 3625 6
2786 3746 10
2787 3554 7
2787 3192 21
2787 3267 6
2787 3388 12
2787 3694 20
2788 3598 13
2788 3102 12
2788 3203 11
2788 3438 18
2789 5050 21
2789 2943 9
2789 3079 15
2789 3394 11
2790 5194 19
2790 3129 9
2790 2996 19
2790 3582 14
2790 3740 19
2791 3440 13
2791 2917 14
2791 3174 10
2791 3218 11
2791 3606 20
2792 3344 5
2793 2948 12
2793 3037 16
2793 3038 7
2793 3364 5
2793 3720 19
2794 3108 21
2794 3013 6
2794 3025 8
2794 3053 21
2794 3704 15
2795 3741 11
2795 3535 5
2795 3661 16
2796 3086 5
2796 2967 19
2796 3314 6
2796 3514 14
2796 3653 21
2796 3676 12
2797 3008 14
2797 3248 16
2797 3329 18
2797 3330 10
2797 3458 20
2798 3616 19
2798 3368 21
2799 3365 16
2799 3209 5
2799 3615 5
2799 3732 19
2800 3354 14
2800 3019 20
2800 3076 9
2800 3178 20
2800 3401 7
2801 5824 16
2801 3464 11
2801 3332 19
2802 4171 16
2802 3348 16
2802 2914 19
2802 3414 6
2802 3569 5
2802 3731 6
2803 3520 16
2803 3154 18
2804 9077 5
2804 3258 8
2804 3470 20
2804 3492 5
2805 3027 18
2805 3165 16
2805 3291 15
2805 3433 10
2805 3712 19
2806 3281 13
2806 3024 9
2807 2992 16
2807 2958 16
2807 3172 9
2807 3184 5
2808 3568 15
2808 3028 19
2808 3419 17
2808 3445 10
2808 3713 11
2809 3204 21
2810 4654 19
2810 3474 20
2810 3450 17
2810 3512 11
2810 3644 12
2811 3686 11
2811 3328 15
2811 3454 6
2812 3472 10
2812 2938 17
2812 3071 13
2812 3253 17
2813 3301 8
2813 3161 9
2813 3273 9
2813 3473 15
2813 3516 17
2814 5104 15
2814 3003 11
2814 3371 18
2814 3672 19
2815 3711 16
2816 3479 15
2816 3641 19
2816 3726 18
2817 3375 20
2817 3434 16
2818 3658 16
2818 2915 11
2818 2918 6
2818 3619 12
2818 3659 8
2819 5139 8
2819 3451 19
2819 3039 9
2820 9429 6
2820 2919 13
2820 3007 14
2820 3485 19
2821 2947 12
2821 2986 7
2821 3223 8
2821 3442 21
2821 3660 21
2822 3590 17
2822 3550 16
2823 3718 10
2823 3088 15
2823 3662 18
2824 2963 6
2824 3556 8
2824 3607 20
2825 3107 10
2825 3070 16
2826 3467 18
2827 3553 15
2827 3453 18
2828 3064 6
2828 2980 18
2829 3718 6
2829 3168 9
2829 3259 6
2829 3441 13
2830 3413 17
2830 3241 5
2830 3482 15
2831 2936 8
2831 3588 15
2831 3681 20
2832 3425 13
2833 3533 16
2833 3124 9
2833 3221 15
2834 8971 5
2834 3717 8
2835 8176 21
2835 3675 19
2835 3222 15
2835 3385 17
2835 3551 7
2836 3100 7
2836 3693 13
2836 3695 11
2837 2997 12
2837 3286 20
2837 3339 7
2837 3706 14
2838 3018 5
2838 3004 16
2838 3207 17
2838 3240 5
2838 3521 8
2838 3530 13
2838 3566 12
2838 3710 21
2839 2940 21
2839 3104 15
2839 3230 16
2839 3288 15
2839 3534 14
2840 3461 19
2840 2932 13
2840 3449 11
2840 3649 16
2841 2941 7
2841 2911 10
2841 3031 11
2841 3179 12
2841 3477 8
2841 3682 10
2842 9974 18
2842 3143 12
2842 2952 15
2842 3006 6
2842 3115 18
2842 3195 13
2842 3599 15
2843 6502 19
2843 3430 14
2843 2957 9
2843 3034 14
2844 4682 16
2844 3480 16
2844 3318 12
2844 3384 10
2844 3432 5
2844 3668 21
2845 3639 6
2845 3617 18
2846 3431 21
2846 3097 9
2846 3188 13
2846 3503 17
2847 4594 18
2847 3630 15
2847 2924 10
2847 3015 9
2847 3125 6
2847 3545 6
2847 3699 8
2847 3709 19
2848 3730 18
2848 3060 8
2848 3518 12
2849 3703 18
2849 3255 14
2849 3324 14
2849 3549 13
2850 3684 16
2850 3412 14
2850 3589 8
2850 3702 17
2851 3583 8
2851 2922 6
2851 3049 5
2851 3544 5
2852 3294 13
2852 2949 13
2852 3493 15
2852 3494 20
2853 2983 12
2853 2993 8
2853 3062 16
2853 3265 5
2853 3613 12
2853 3685 6
2854 3118 10
2854 3331 9
2854 3392 7
2854 3559 17
2854 3664 5
2855 3370 18
2856 2994 10
2856 3036 13
2856 3133 5
2856 3690 9
2857 3122 17
2857 3443 16
2858 3474 16
2858 2920 15
2858 3160 5
2858 3608 8
2859 3436 18
2859 3131 14
2860 9701 17
2860 3176 16
2860 3261 5
2860 3319 16
2861 3541 20
2861 3456 11
2861 3609 6
2861 3716 19
2862 3021 6
2862 3206 15
2862 3727 11
2863 5998 14
2863 3354 16
2863 3326 6
2863 3333 12
2864 3787 11
2864 3196 15
2864 2962 13
2864 2970 17
